message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=1.922867, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.380155786";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.912247, y=-0.031556])";"30";"turtlesim1.sim";"1757850156.378656489";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.933491, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.365648948";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.928179, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.363831642";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.917559, y=-0.031556])";"30";"turtlesim1.sim";"1757850156.362256028";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.938803, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.349367738";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.933491, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.348527771";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.922871, y=-0.031556])";"30";"turtlesim1.sim";"1757850156.346828325";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.944116, y=-0.031556])";"30";"turtlesim3.sim";"1757850156.333075656";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=1.954744, y=-0.031556])";"30";"turtlesim1.sim";"1757850156.250565872";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.039733, y=-0.031556])";"30";"turtlesim2.sim";"1757850156.028193942";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.055669, y=-0.031556])";"30";"turtlesim3.sim";"1757850155.997942912";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.055673, y=-0.031556])";"30";"turtlesim1.sim";"1757850155.947207446";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.076918, y=-0.031556])";"30";"turtlesim3.sim";"1757850155.933475078";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.071605, y=-0.031556])";"30";"turtlesim2.sim";"1757850155.932406251";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.060985, y=-0.031556])";"30";"turtlesim1.sim";"1757850155.931283318";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.082230, y=-0.031556])";"30";"turtlesim3.sim";"1757850155.917037883";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.076918, y=-0.031556])";"30";"turtlesim2.sim";"1757850155.916981568";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.066297, y=-0.031556])";"30";"turtlesim1.sim";"1757850155.914521023";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.087542, y=-0.031556])";"30";"turtlesim3.sim";"1757850155.901630162";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.082230, y=-0.031556])";"30";"turtlesim2.sim";"1757850155.900525001";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.071609, y=-0.031556])";"30";"turtlesim1.sim";"1757850155.898964818";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.092854, y=-0.031556])";"30";"turtlesim3.sim";"1757850155.885336820";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.098166, y=-0.031556])";"30";"turtlesim3.sim";"1757850155.869031337";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.459387, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.781462130";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.454075, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.780519244";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.443455, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.778364966";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.464699, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.765900935";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.459387, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.763989680";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.448767, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.763056524";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.470012, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.749256950";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.464699, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.748251518";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.454079, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.746401329";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.475324, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.733444952";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.528444, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.556746718";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.517824, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.554820732";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.539069, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.541630004";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.533757, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.540669136";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.523136, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.538737329";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.544381, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.524997890";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.597502, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.365594900";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.592189, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.364538644";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.581568, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.362404958";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.602814, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.349097129";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.597502, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.348202347";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.586880, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.347181784";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.608126, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.333293892";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.602814, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.332486308";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.592193, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.330422269";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.613438, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.317601634";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.671871, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.141018781";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.666559, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.140111638";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.655937, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.139091695";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.677183, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.125300131";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.671871, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.124324122";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.661249, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.122365493";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.682495, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.109050473";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.677183, y=-0.031556])";"30";"turtlesim2.sim";"1757850154.108279112";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.666562, y=-0.031556])";"30";"turtlesim1.sim";"1757850154.106711409";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.687807, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.093249146";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.693119, y=-0.031556])";"30";"turtlesim3.sim";"1757850154.077556949";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.740931, y=-0.031556])";"30";"turtlesim1.sim";"1757850153.882866795";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.857796, y=-0.031556])";"30";"turtlesim1.sim";"1757850153.530194197";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.879042, y=-0.031556])";"30";"turtlesim3.sim";"1757850153.517375963";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.017156, y=-0.031556])";"30";"turtlesim3.sim";"1757850153.101759059";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.011844, y=-0.031556])";"30";"turtlesim2.sim";"1757850153.100790420";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.001222, y=-0.031556])";"30";"turtlesim1.sim";"1757850153.098552275";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.022468, y=-0.031556])";"30";"turtlesim3.sim";"1757850153.085184720";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.017156, y=-0.031556])";"30";"turtlesim2.sim";"1757850153.084753531";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.006534, y=-0.031556])";"30";"turtlesim1.sim";"1757850153.082357091";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.027780, y=-0.031556])";"30";"turtlesim3.sim";"1757850153.068978206";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.022468, y=-0.031556])";"30";"turtlesim2.sim";"1757850153.068827262";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.011846, y=-0.031556])";"30";"turtlesim1.sim";"1757850153.066697637";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.033092, y=-0.031556])";"30";"turtlesim3.sim";"1757850153.053387237";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.086215, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.843121913";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.149958, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.700983379";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.144646, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.700656329";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.134024, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.698736793";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.155270, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.685692838";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.149958, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.683947888";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.139336, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.682722876";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.160582, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.669650768";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.155270, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.668823582";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.144648, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.666940270";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.165894, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.653128574";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.160582, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.652391437";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.165896, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.602988470";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.187142, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.589374133";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.181830, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.588427796";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.171208, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.586253157";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.192455, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.573678425";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.224327, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.460430268";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.213705, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.458525494";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.234951, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.445767495";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.240263, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.429180375";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.234951, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.428205556";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.224329, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.427246528";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.245575, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.413280998";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.240263, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.412274996";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.229641, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.410343559";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.250887, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.397677849";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.245575, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.396666826";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.234953, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.394707046";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.256200, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.381696784";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.261512, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.348364450";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.250889, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.346435823";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.272136, y=-0.031556])";"30";"turtlesim3.sim";"1757850152.333647962";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.266824, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.332713596";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.256202, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.330841405";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.277448, y=-0.023519])";"30";"turtlesim3.sim";"1757850152.317007237";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.272136, y=-0.031556])";"30";"turtlesim2.sim";"1757850152.315984553";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.261514, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.315020145";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.277448, y=-0.023519])";"30";"turtlesim2.sim";"1757850152.300281285";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.266826, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.298325435";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.272138, y=-0.031556])";"30";"turtlesim1.sim";"1757850152.282795052";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.277450, y=-0.023520])";"30";"turtlesim1.sim";"1757850152.266686686";"/home/ezhsluny/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
